repo_name,cbo_mean,dit_mean,lcom_mean,cbo_total,dit_total,lcom_total
lakesoul-io/LakeSoul,8.771003,1.814363,114.623306,6473,1339,84592
apache/paimon,7.690846,1.520229,23.900490,37639,7440,116969
brianway/springmvc-mybatis-learning,2.926829,1.195122,156.621951,240,98,12843
CodeRayZhang/Movie_Recommend,3.585034,1.183673,239.707483,527,174,35237
pentaho/pentaho-kettle,6.003843,1.276879,82.490303,67177,14287,922984
PeterCxy/Shelter,7.267606,2.084507,15.676056,516,148,1113
openrewrite/rewrite,8.686752,1.540626,59.712786,41375,7338,284412
SalomonBrys/ANR-WatchDog,1.960000,1.360000,2.000000,49,34,50
apache/beam,7.417869,1.534776,19.624738,120303,24891,318274
lovetuzitong/MultiImageSelector,4.758621,1.310345,7.896552,138,38,229
jasonross/Nuwa,2.500000,1.250000,1.500000,20,10,12
igniterealtime/Openfire,6.747117,1.473641,76.020593,8191,1789,92289
FCL-Team/FoldCraftLauncher,5.454830,2.055114,657.347443,19201,7234,2313863
CainKernel/CainCamera,5.360522,1.425775,56.254486,3286,874,34484
sockeqwe/AdapterDelegates,4.150000,1.690000,4.250000,415,169,425
ngbdf/redis-manager,6.556650,1.113300,82.128079,1331,226,16672
sanshengshui/netty-learning-example,4.572115,1.317308,1.918269,951,274,399
Pay-Group/best-pay-sdk,4.223404,1.212766,3.446809,397,114,324
xiaojinzi123/Component,4.881188,1.368812,55.405941,1972,553,22384
fengjundev/Android-Skin-Loader,4.138298,1.244681,10.361702,389,117,974
googlesamples/android-vision,5.775862,1.336207,2.715517,670,155,315
jiajunhui/PlayerBase,4.877419,1.216129,29.487097,1512,377,9141
apache/parquet-java,6.430921,1.838346,31.571898,13685,3912,67185
WindySha/Xpatch,3.366667,1.200000,73.833333,202,72,4430
geftimov/android-pathview,5.000000,1.400000,9.750000,100,28,195
ac-pm/Inspeckage,3.354037,1.204969,2.136646,540,194,344
linkedin/cruise-control,7.510000,1.521250,28.167500,6008,1217,22534
iwgang/CountdownView,3.487500,1.212500,12.025000,279,97,962
nic-delhi/AarogyaSetu_Android,5.812500,1.250000,34.525000,465,100,2762
EverythingMe/overscroll-decor,5.441176,1.470588,4.264706,370,100,290
classgraph/classgraph,4.196944,1.422750,32.539898,2472,838,19166
MeteorDevelopment/meteor-client,8.180851,1.725041,20.409165,9997,2108,24940
mybatis/spring,4.551546,1.335052,7.871134,883,259,1527
googlearchive/android-Camera2Basic,5.111111,1.444444,12.111111,92,26,218
apache/pdfbox,6.732262,1.599732,58.385542,10058,2390,87228
liuyangming/ByteTCC,10.582192,1.232877,60.904110,1545,180,8892
OpenHFT/Chronicle-Map,5.910615,1.353352,532.241620,4232,969,381085
williamfiset/DEPRECATED-data-structures,2.915888,1.065421,25.130841,312,114,2689
AltBeacon/android-beacon-library,6.219512,1.262195,46.359756,1020,207,7603
Jackson0714/PassJava-Platform,4.969697,1.195286,12.326599,1476,355,3661
Teevity/ice,5.847059,1.294118,9.764706,497,110,830
Minestom/Minestom,6.101786,1.854167,48.289881,10251,3115,81127
wkeyuan/DWSurvey,6.036364,1.545455,78.770455,2656,680,34659
AweiLoveAndroid/CommonDevKnowledge,1.833333,1.000000,227.666667,33,18,4098
starcwang/easy_javadoc,4.859649,1.359649,38.622807,554,155,4403
donkingliang/ConsecutiveScroller,4.933333,1.350000,181.366667,296,81,10882
presmihaylov/booknotes,2.424242,1.000000,0.727273,80,33,24
ManuelPeinado/FadingActionBar,6.100000,1.760000,6.140000,305,88,307
RobotiumTech/robotium,5.305556,1.305556,17.347222,382,94,1249
konsoletyper/teavm,5.714378,1.546492,99.912398,26549,7185,464193
amitshekhariitbhu/awesome-android-complete-reference,3.250000,1.000000,4.000000,13,4,16
udacity/Sunshine-Version-2,7.392857,1.714286,11.928571,207,48,334
google/binnavi,6.306049,1.580539,26.982413,38366,9616,164161
arcadefire/nice-spinner,5.117647,1.411765,47.705882,87,24,811
88250/symphony,9.138393,1.187500,5.937500,2047,266,1330
hamibot/hamibot,5.383255,1.547170,46.893868,4565,1312,39766
harjot-oberai/MusicDNA,4.852311,1.750846,38.481398,4304,1553,34133
w446108264/XhsEmoticonsKeyboard,5.311258,1.430464,14.556291,802,216,2198
spring-projects/spring-batch,5.982793,1.330932,13.054422,14951,3326,32623
apache/commons-lang,3.412069,1.562069,269.313793,3958,1812,312404
power721/alist-tvbox,5.478166,1.187773,29.281659,2509,544,13411
AbrahamCaiJin/CommonUtilLibrary,4.462585,1.217687,165.346939,656,179,24306
SpecialCyCi/AndroidResideMenu,5.500000,1.500000,44.187500,88,24,707
JoanZapata/android-pdfview,3.405405,1.256757,24.932432,252,93,1845
tyzlmjj/PagerBottomTabStrip,6.184211,1.710526,16.500000,470,130,1254
openaphid/android-flip,4.802469,1.506173,15.790123,389,122,1279
amitshekhariitbhu/android-developer-roadmap,0.000000,1.000000,0.000000,0,1,0
nanchen2251/RxJava2Examples,2.963855,2.060241,6.801205,492,342,1129
jprante/elasticsearch-jdbc,4.524272,1.514563,86.029126,466,156,8861
mouredev/hello-java,0.636364,1.327273,0.472727,35,73,26
jiangqqlmj/FastDev4Android,4.704492,1.725768,23.678487,1990,730,10016
WhatsApp/stickers,7.000000,1.933333,7.333333,210,58,220
YahooArchive/anthelion,7.821355,1.605749,10.993840,3809,782,5354
Nightonke/CoCoin,4.968958,1.337029,20.268293,2241,603,9141
jOOQ/jOOR,3.246753,1.155844,38.870130,250,89,2993
race604/FlyRefresh,5.464286,1.500000,41.678571,153,42,1167
FinalTeam/RxGalleryFinal,5.174863,1.289617,40.420765,947,236,7397
donglua/PhotoPicker,4.863636,1.303030,16.575758,321,86,1094
saulmm/Android-Material-Examples,4.750000,1.428571,4.464286,133,40,125
andpor/react-native-sqlite-storage,5.611111,1.222222,29.888889,101,22,538
sunfusheng/StickyHeaderListView,4.884058,1.391304,10.260870,337,96,708
aicareles/Android-BLE,4.834320,1.295858,26.284024,817,219,4442
qunarcorp/qmq,4.895228,1.203320,18.093361,4719,1160,17442
yizhiwazi/springboot-socks,3.951923,1.057692,6.365385,411,110,662
mzule/ActivityRouter,3.166667,1.555556,9.333333,114,56,336
sqlcipher/android-database-sqlcipher,4.533333,1.666667,265.333333,272,100,15920
gcacace/android-signaturepad,3.380952,1.095238,19.238095,71,23,404
connectbot/connectbot,5.297959,1.387755,30.159184,1298,340,7389
suceser/android-open-source-project-analysis,2.223602,1.385093,3.260870,358,223,525
sannies/mp4parser,4.766176,1.923529,17.469118,3241,1308,11879
apache/incubator-hugegraph,7.050336,1.968121,74.481963,16808,4692,177565
pedrovgs/Algorithms,2.621302,1.153846,2.059172,443,195,348
florent37/ExpectAnim,4.722222,2.388889,21.430556,340,172,1543
square/flow,4.664336,1.314685,2.741259,667,188,392
brianway/webporter,4.170732,1.390244,3.731707,171,57,153
widdix/aws-cf-templates,6.692308,3.750000,5.346154,348,195,278
FabricMC/fabric,6.785242,1.207048,8.979075,12322,2192,16306
jjoe64/GraphView,5.024390,1.195122,59.926829,206,49,2457
Meituan-Dianping/Zebra,4.159265,1.395100,85.286371,2716,911,55692
JulienGenoud/android-percent-support-lib-sample,5.900000,1.800000,7.900000,59,18,79
codedrinker/community,4.260000,1.160000,468.020000,426,116,46802
wenmingvs/AndroidProcess,4.022727,1.545455,4.431818,177,68,195
JakeWharton/scalpel,4.833333,1.333333,7.000000,58,16,84
google/truth,8.203343,1.518106,222.367688,2945,545,79830
proninyaroslav/libretorrent,6.716141,1.499072,63.224490,3620,808,34078
cucumber/cucumber-jvm,4.375870,1.255220,12.096674,5658,1623,15641
MagicMashRoom/SuperCalendar,4.295455,1.272727,16.340909,189,56,719
aistrate/AlgorithmsSedgewick,4.091286,1.024896,145.286307,986,247,35014
spotify/dockerfile-maven,7.583333,1.583333,12.500000,91,19,150
ag2s20150909/TTS,5.377778,1.244444,19.377778,242,56,872
federicoiosue/Omni-Notes,6.584677,1.612903,28.516129,1633,400,7072
airbnb/airpal,6.521212,1.224242,3.872727,1076,202,639
jenkinsci/configuration-as-code-plugin,7.393382,1.492647,39.400735,2011,406,10717
chanjarster/weixin-java-tools,5.224422,1.188119,68.950495,1583,360,20892
itwanger/paicoding,4.741321,1.144457,3.890258,4234,1022,3474
welk1n/JNDI-Injection-Exploit,3.500000,1.666667,4.444444,63,30,80
scottyab/rootbeer,3.200000,1.000000,76.200000,16,5,381
sleuthkit/autopsy,4.880590,1.933031,22.639501,21499,8515,99727
Nightonke/WoWoViewPager,5.572519,2.496183,60.312977,730,327,7901
kabouzeid/Phonograph,7.361858,2.029340,25.092910,3011,830,10263
Tencent/MSEC,6.765789,1.388158,118.665789,5142,1055,90186
JessYanCoding/ProgressManager,7.118644,1.220339,1425.813559,420,72,84123
RodneyShag/HackerRank_solutions,1.280000,1.360000,0.693333,96,102,52
flavioarfaria/KenBurnsView,5.461538,1.923077,19.000000,71,25,247
ldoublem/LoadingView,6.860465,2.000000,57.232558,295,86,2461
oguzbilgener/CircularFloatingActionMenu,6.914286,1.600000,9.285714,242,56,325
tdebatty/java-string-similarity,3.125000,1.083333,2.020833,150,52,97
Hitomis/transferee,5.201439,1.302158,29.971223,723,181,4166
aritraroy/PatternLockView,4.363636,1.606061,69.909091,144,53,2307
JsonChao/Awesome-WanAndroid,5.468254,1.460317,19.515873,2067,552,7377
deano2390/MaterialShowcaseView,5.312500,1.166667,48.062500,255,56,2307
yangzongzhuan/RuoYi-Vue,5.876866,1.578358,53.048507,1575,423,14217
spring-projects/spring-loaded,2.119508,1.457821,27.604569,2412,1659,31414
florent37/ViewAnimator,3.687500,1.125000,68.656250,118,36,2197
drewnoakes/metadata-extractor,5.282427,1.817992,43.813808,2525,869,20943
synthetichealth/synthea,7.521212,1.555556,23.800000,3723,770,11781
Yalantis/GuillotineMenu-Android,2.875000,1.250000,5.625000,46,20,90
ata4/disunity,4.950495,2.059406,11.198020,500,208,1131
